problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed
DASCMOP7_difficulty7,MOSADE,hv,higher,155,110916.70043432672,3.5108391661342466,110915.51883421408,2.9173597734909973,110907.16666826807,110918.90260840488,0,0
DASCMOP7_difficulty7,MOSADE,igd,lower,155,0.03233450288807739,0.0011482109085043588,0.03234725650732116,0.0008563034705887244,0.031169766517909325,0.03446269769561381,0,0
DASCMOP7_difficulty7,MOSADE,igd_plus,lower,155,0.02264442934972817,0.000956124899457178,0.022825292244978923,0.0007678066053188066,0.021702245066588445,0.024709215806674654,0,0
DASCMOP7_difficulty7,MOSADE,gd,lower,155,0.0009109072167530627,8.354705230217106e-05,0.0009088356130458721,4.753961343275623e-05,0.0008159610319232326,0.0010317494038370322,0,0
DASCMOP7_difficulty7,MOSADE,spread,lower,155,0.016864928073106793,0.0011932125663172144,0.017013244811271245,0.000970299598642866,0.015362188462770704,0.01894334139889428,0,0
DASCMOP7_difficulty7,MOSADE,time_s,lower,155,317.5272183000052,56.379415399995196,328.9165836367746,37.56047365357772,227.2038311000215,411.3351649999968,0,0
DASCMOP7_difficulty7,MOSADE_domselect,hv,higher,31,110909.00817501791,55.74237395080854,110887.4621540344,38.43712291016931,110777.56705364387,110918.54949827035,0,0
DASCMOP7_difficulty7,MOSADE_domselect,igd,lower,31,0.03763711285357043,0.007946297430890252,0.03978805981371271,0.006365251533530476,0.033051381253156195,0.0606319464015981,0,0
DASCMOP7_difficulty7,MOSADE_domselect,igd_plus,lower,31,0.032839580675299955,0.012351364045986461,0.03498991023059855,0.00842404302409544,0.025577790943669958,0.060012028779383185,0,0
DASCMOP7_difficulty7,MOSADE_domselect,gd,lower,31,0.0016785514533755209,0.0009583646967185316,0.0018388010701833426,0.0007138073811302969,0.000979589985047224,0.003923621708747223,0,0
DASCMOP7_difficulty7,MOSADE_domselect,spread,lower,31,0.017402396158104922,0.0012845429229078574,0.017368296671466225,0.0009930196977434573,0.01545170892163188,0.019938564920776624,0,0
DASCMOP7_difficulty7,MOSADE_domselect,time_s,lower,31,891.5287551000074,456.3579984500102,924.7620522387105,213.42509073528845,668.1335181000177,1196.6492748000019,0,0
DASCMOP7_difficulty7,MOSADE_eps_zero,hv,higher,31,110916.70043432672,3.3107542748039123,110915.51883421408,2.9560019839748084,110907.16666826807,110918.90260840488,0,0
DASCMOP7_difficulty7,MOSADE_eps_zero,igd,lower,31,0.03233450288807739,0.0010392539087226427,0.03234725650732116,0.0008676457326056271,0.031169766517909325,0.03446269769561381,0,0
DASCMOP7_difficulty7,MOSADE_eps_zero,igd_plus,lower,31,0.02264442934972817,0.0009304242290918661,0.02282529224497893,0.0007779766723510555,0.021702245066588445,0.024709215806674654,0,0
