problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
CRE23,hv,MOSADE,NSGA2,higher,paired,wilcoxon_signed_rank,36.0,0.004284858703613281,cliffs_delta_comparison_minus_reference,-0.25170068027210885,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,igd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,igd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,igd_plus,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,igd_plus,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,gd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,gd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,spread,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-0.9954648526077098,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,spread,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,time_s,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE23,time_s,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,hv,MOSADE,MOEAD,higher,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,hv,MOSADE,NSGA2,higher,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,hv,MOSADE,NSGA3,higher,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,0.9954648526077098,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,igd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,igd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,igd,MOSADE,NSGA3,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,igd_plus,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,igd_plus,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,igd_plus,MOSADE,NSGA3,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,gd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,gd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,gd,MOSADE,NSGA3,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,spread,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,spread,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,0.9909297052154195,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,spread,MOSADE,NSGA3,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,time_s,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE31,time_s,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
