objective_group,problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed,rank,notes,algorithm_set_note
2_objective_algorithm_set,CRE21,MOEAD,hv,higher,21,784007.3427443806,2961.760389358853,782421.2654164231,3401.0305619372525,771964.5557663123,784824.660118028,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,NSGA2,hv,higher,21,782030.9681636358,2646.2363410497783,782024.1453238034,2135.044758573425,776731.0174867256,784710.8881736767,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,MOSADE,hv,higher,21,777343.8948830783,3979.837252878468,776592.560641821,4371.268183098836,766520.8432812844,783643.3336740759,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,NSGA2,spread,lower,21,0.8798427289254847,0.0752930783758033,0.8890645922037334,0.0474023052047364,0.7932890863309003,0.9615685137616204,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,MOSADE,spread,lower,21,1.3368335905859312,0.0871085536362838,1.34999021662296,0.07388643611875,1.2240358441137764,1.486374252603898,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,MOEAD,spread,lower,21,1.967741935483868,0.3131313131313118,1.7213767667770423,0.4725130021180377,0.0,1.97979797979798,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,MOEAD,time_s,lower,21,5.050820099946577,0.5373631999827921,5.110590966662303,0.4070299476622245,4.476051300007384,5.878694699960761,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,MOSADE,time_s,lower,21,16.578450099972542,5.544993999938015,17.636978019051078,3.454671682630077,10.676583899999969,22.809296999999788,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE21,NSGA2,time_s,lower,21,49.83340229996247,1.92582720000064,47.98018173333202,5.18199686921654,38.09539209998911,53.460547900001984,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,MOEAD,hv,higher,21,1845470.5701885552,258.9145364074502,1844644.5806764709,1687.185064609588,1840474.649673561,1845584.7720542315,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,NSGA2,hv,higher,21,1845342.20257844,249.491422429448,1845192.3650893248,447.9449885932237,1843704.2277192369,1845541.125638161,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,MOSADE,hv,higher,21,1843798.9439767408,1294.0740198097192,1843378.5925094327,1001.1543041700638,1841119.515459854,1845087.8504262413,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,NSGA2,spread,lower,21,0.8359521045837895,0.0320806235734362,0.8271505808495861,0.0420996643189628,0.7419674851809908,0.903934164886546,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,MOSADE,spread,lower,21,1.1038624856379071,0.4013291912577629,1.130239000447946,0.2259118431734914,0.8017971654115157,1.55104764150051,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,MOEAD,spread,lower,21,1.9747246158304448,0.0252929959438878,1.9479276693380856,0.0527635187065555,1.8371177300413928,1.97979797979798,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,MOEAD,time_s,lower,21,6.3883623000001535,1.9423310999991368,6.965705499998183,1.0020891879950518,5.810167599993292,8.366898900014348,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,MOSADE,time_s,lower,21,13.125624099979175,2.9160654999432154,12.815376857132096,1.9575879663185063,9.154384900000878,16.013036099961028,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE22,NSGA2,time_s,lower,21,57.51131349999923,1.935246100067161,55.04324177142588,6.209736611733306,43.90593889995944,60.68267299997388,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,MOEAD,hv,higher,21,54.17561160583266,0.0321569907376897,54.17580922401861,0.0184237601568274,54.14664381984513,54.201928260088486,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,MOSADE,hv,higher,21,54.14483786328369,0.0319416950825228,54.13999310320996,0.0223564312845291,54.099974256605066,54.17275906058328,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,NSGA2,hv,higher,21,53.9362705360214,0.5655138332814005,53.89339785510733,0.3469383788832101,52.86015088668966,54.22629420902962,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,NSGA2,spread,lower,21,0.4979769761863996,0.0486816729552964,0.490308892444734,0.0290014218740482,0.4455167938821547,0.5484414799420974,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,MOEAD,spread,lower,21,0.758013584783423,0.010387844330235,0.7550504856333258,0.0230055186342227,0.7067865038246225,0.8077838589855464,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
