experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,status,report_status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,WFG9,hv,higher,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.9750260145681582,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,igd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.8439125910509886,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,igd_plus,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,gd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.9167533818938606,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,spread,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.005202913631633715,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,time_s,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,hv,higher,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.9292403746097815,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,igd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.8834547346514048,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,igd_plus,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.9812695109261186,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,gd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.007284079084287201,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,spread,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.4380853277835588,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,time_s,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,hv,higher,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.10926118626430802,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,igd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.704474505723205,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,igd_plus,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.6649323621227887,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,gd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.3028095733610822,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,spread,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.1529656607700312,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,time_s,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
