result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,1337295874,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_018,ok,,300046,182,182,1.0,archive,110917.4789316774,0.03268143374847631,0.023077388575114058,0.0009521892990806837,0.017732354984679375,302.912170399999
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,612016888,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_019,ok,,300037,182,182,1.0,archive,110917.99145027799,0.031169766517909325,0.02197869652392072,0.0008515467365362659,0.016627269167901144,300.7198212000076
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,232150720,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_020,ok,,300064,182,182,1.0,archive,110911.67923501733,0.03177725257292374,0.02232667117801705,0.0009059969300305714,0.017935816960120227,310.64629279999644
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,2324106676,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_021,ok,,300055,182,182,1.0,archive,110916.29551993828,0.03432312701487287,0.024709215806674654,0.0009217757613360948,0.01705436131624934,299.8997461000108
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,1658700540,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_022,ok,,300046,182,182,1.0,archive,110915.86552181955,0.032458097039334464,0.022776399710093136,0.0009526204017431126,0.01885463511311816,303.7214939999976
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,609942288,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_023,ok,,300064,182,182,1.0,archive,110917.96964868977,0.03284337956399297,0.0230213368144916,0.0008357574105523208,0.016640330770747138,293.1726555999776
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,3405943863,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_024,ok,,300046,182,182,1.0,archive,110914.23065382516,0.03169516865548861,0.022057874664599006,0.0009169785231692561,0.016861337575871483,301.2651649999898
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,2257503667,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_025,ok,,300046,182,182,1.0,archive,110907.16666826807,0.033297837903140004,0.0244658309026885,0.0010317494038370322,0.015511467336416757,319.5219771999982
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,4018327298,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_026,ok,,300055,182,182,1.0,archive,110915.46290292873,0.0326067020680379,0.022675982594429663,0.000882921502163825,0.017458952206109574,312.648388600006
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,2224437599,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_027,ok,,300046,182,182,1.0,archive,110909.45980791871,0.03233450288807739,0.022716832318768174,0.0008832927149482492,0.015362188462770704,307.35404509998625
