problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,p_adjust_method,p_adjusted,significant_alpha_0p05,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
WFG9,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,226.0,0.6776954075321555,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.044745057232049947,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,66.0,0.00016037467867136002,Holm,0.0048112403601408005,True,cliffs_delta_comparison_minus_reference,0.4505723204994797,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,123.0,0.01319857221096754,Holm,0.2507728720083833,False,cliffs_delta_comparison_minus_reference,0.3631633714880333,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,234.0,0.7942198486998677,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.013527575442247659,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,119.0,0.010358627885580063,Holm,0.21753118559718132,False,cliffs_delta_comparison_minus_reference,-0.3881373569198751,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,195.0,0.3081742124632001,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.16545265348595214,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,122.0,0.012432587333023548,Holm,0.24865174666047096,False,cliffs_delta_comparison_minus_reference,-0.331945889698231,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,200.0,0.35696212109178305,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.17793964620187305,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,84.0,0.0008311951532959938,Holm,0.022442269138991833,True,cliffs_delta_comparison_minus_reference,0.5920915712799167,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,100.0,0.0029005883261561394,Holm,0.07251470815390348,False,cliffs_delta_comparison_minus_reference,-0.4630593132154006,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,94.0,0.0018533961847424507,Holm,0.04818830080330372,True,cliffs_delta_comparison_minus_reference,-0.43184183142559834,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,170.0,0.13016566075384617,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.1571279916753382,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,71.0,0.00026073306798934937,Holm,0.007561258971691132,True,cliffs_delta_comparison_minus_reference,-0.6462018730489074,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,0.9209157127991675,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
