result_dir,problem,algorithm,n_runs,mean_feasibility_ratio_recomputed,median_feasibility_ratio_recomputed
results/20260417_163055_benchmark_wfg,WFG7,MOEAD_DE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG7,MOSADE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG7,NSGA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG7,NSGA3,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG7,SMSEMOA,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG7,SPEA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,MOEAD,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,MOEAD_DE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,MOSADE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,NSGA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,NSGA3,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,SMSEMOA,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG8,SPEA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,MOEAD,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,MOEAD_DE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,MOSADE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,NSGA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,NSGA3,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,SMSEMOA,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG9,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty13,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty7,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty1,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty13,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP4_difficulty7,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty1,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty13,SPEA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,MOEAD,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,MOEAD_DE,0,,
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,MOSADE,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,NSGA2,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,NSGA3,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,SMSEMOA,31,1.0,1.0
results/20260418_172554_benchmark_dascmop,DASCMOP7_difficulty7,SPEA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,MOEAD,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,MOEAD_DE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,MOSADE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,NSGA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,NSGA3,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,SMSEMOA,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ1_n_obj3,SPEA2,31,1.0,1.0
