source_block,source_file,metric,metric_reported_as,n,bootstrap_seed,n_bootstrap,experiment_group,problem,variant,median,ci95_low,ci95_high,status,notes,constant_name,constant_level
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,6105011896572850728,5000,A1,WFG9,MOSADE_eps_zero,9.878076433441954,9.875597699337629,9.880054401628776,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,9302398008902026846,5000,A1,WFG9,MOSADE_eps_zero,0.0095362910661892,0.0093657040897167,0.0097057543831362,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,15969318555728369460,5000,A1,WFG9,MOSADE_fixed_eps_initial,9.878076433441954,9.875597699337629,9.880054401628776,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,4875035203308099384,5000,A1,WFG9,MOSADE_fixed_eps_initial,0.0095362910661892,0.0093657040897167,0.0097057543831362,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,16004330594357132559,5000,A1,ZDT1,MOSADE,7.350925324306885,7.350916333365927,7.350931701201221,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,15194566387910686801,5000,A1,ZDT1,MOSADE,0.001885596226161,0.0018789315387377,0.0018912421675197,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,7364396008148786213,5000,A1,ZDT1,MOSADE_eps_zero,7.350925324306885,7.350916333365927,7.350931701201221,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,9190787228381395105,5000,A1,ZDT1,MOSADE_eps_zero,0.001885596226161,0.0018789315387377,0.0018912421675197,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,8348389049174402929,5000,A1,ZDT1,MOSADE_fixed_eps_initial,7.350925324306885,7.350916333365927,7.350931701201221,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,18109288146692771044,5000,A1,ZDT1,MOSADE_fixed_eps_initial,0.001885596226161,0.0018789315387377,0.0018912421675197,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,3238519057854705027,5000,A1,ZDT3,MOSADE,7.805978601379113,7.8059570064717985,7.805986725835425,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,10255563958420828780,5000,A1,ZDT3,MOSADE,0.0022660470897209,0.0022549331759915,0.0022759709285009,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,8287389863381951099,5000,A1,ZDT3,MOSADE_eps_zero,7.805978601379113,7.8059570064717985,7.805986725835425,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,12553203481816613200,5000,A1,ZDT3,MOSADE_eps_zero,0.0022660470897209,0.0022549331759915,0.0022759709285009,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,hv,hv,31,141510587722610137,5000,A1,ZDT3,MOSADE_fixed_eps_initial,7.805978601379113,7.8059570064717985,7.805986725835425,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a1_epsilon_modes,tables\a1_epsilon_modes_by_run_clean.csv,igd,igd,31,6470532437576969298,5000,A1,ZDT3,MOSADE_fixed_eps_initial,0.0022660470897209,0.0022549331759915,0.0022759709285009,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,4858670314099578215,5000,A3,DASCMOP7_difficulty7,MOSADE,110916.70043432672,110914.78165058616,110917.19094131682,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,10656481796883005178,5000,A3,DASCMOP7_difficulty7,MOSADE,0.0323345028880773,0.0317638227061274,0.0326067020680379,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,1463878087785151277,5000,A3,DASCMOP7_difficulty7,MOSADE_shared_memory,110916.3362098986,110915.09025525836,110916.86398021404,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,8832320430965233016,5000,A3,DASCMOP7_difficulty7,MOSADE_shared_memory,0.0324698767946328,0.0322611245593539,0.032802452240763,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,3532402160148619669,5000,A3,DTLZ2_n_obj3,MOSADE,18.002498554943354,17.998991280635174,18.005445361816903,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,289546489780928183,5000,A3,DTLZ2_n_obj3,MOSADE,0.0495051493986529,0.0486489250894316,0.0502294786331406,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,11017160713787411471,5000,A3,DTLZ2_n_obj3,MOSADE_shared_memory,18.006096231800477,18.00340784719092,18.010604770545825,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,14686738184522625617,5000,A3,DTLZ2_n_obj3,MOSADE_shared_memory,0.0488451983265912,0.048051600709899,0.0494444752033853,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,4594276117950953278,5000,A3,WFG4,MOSADE,6.242636381977554,6.240454000302422,6.243208676080582,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,12400563868895722735,5000,A3,WFG4,MOSADE,0.0061811139014483,0.0059938415555661,0.0063442058208632,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,1033345342651026399,5000,A3,WFG4,MOSADE_shared_memory,6.244699035965775,6.242244876601185,6.246645173612234,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,4514688510590958329,5000,A3,WFG4,MOSADE_shared_memory,0.0061654966482155,0.0058963272953816,0.0063903911017637,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,7037034530198815089,5000,A3,WFG9,MOSADE,9.878076433441954,9.875597699337629,9.880054401628776,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,7561260090944897281,5000,A3,WFG9,MOSADE,0.0095362910661892,0.0093657040897167,0.0097057543831362,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,3462657782080450066,5000,A3,WFG9,MOSADE_shared_memory,9.87836714176492,9.87579258061722,9.879678238258707,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
