problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,p_adjust_method,p_adjusted,significant_alpha_0p05,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
WFG9,spread,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,248.0,1.0,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.005202913631633715,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,time_s,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,hv,MOSADE,MOSADE_domselect,higher,paired,wilcoxon_signed_rank,9.0,3.073364496231079e-08,Holm,6.454065442085266e-07,True,cliffs_delta_comparison_minus_reference,-0.9292403746097815,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,7.0,1.7695128917694092e-08,Holm,3.8929283618927e-07,True,cliffs_delta_comparison_minus_reference,0.8834547346514048,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd_plus,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,2.0,2.7939677238464355e-09,Holm,6.705522537231445e-08,True,cliffs_delta_comparison_minus_reference,0.9812695109261186,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,gd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,208.0,0.444234280847013,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.007284079084287201,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,spread,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,190.0,0.26389263197779655,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.4380853277835588,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,time_s,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,hv,MOSADE,MOSADE_domselect,higher,paired,wilcoxon_signed_rank,219.0,0.5814498504623771,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.10926118626430802,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,36.0,4.6193599700927734e-06,Holm,7.852911949157715e-05,True,cliffs_delta_comparison_minus_reference,0.704474505723205,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,igd_plus,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,37.0,5.317851901054382e-06,Holm,8.508563041687012e-05,True,cliffs_delta_comparison_minus_reference,0.6649323621227887,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,gd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,105.0,0.00413934513926506,Holm,0.049672141671180725,True,cliffs_delta_comparison_minus_reference,-0.3028095733610822,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,spread,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,245.0,0.9614869365468621,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.1529656607700312,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT3,time_s,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
