experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,p_value_holm,status,report_status
A1_supplementary,DASCMOP4_difficulty13,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP4_difficulty13,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP4_difficulty13,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,-0.7960457856399584,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP4_difficulty13,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.9875130072840791,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP4_difficulty13,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,1.0,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP4_difficulty7,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP4_difficulty7,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.01768990634755463,reference_better,0.10233690217137337,usable,usable
A1_supplementary,DASCMOP4_difficulty7,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.09053069719042664,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP4_difficulty7,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.06971904266389178,reference_better,0.0018071550875902176,usable,usable
A1_supplementary,DASCMOP7_difficulty7,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DASCMOP7_difficulty7,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.1571279916753382,reference_better,5.587935447692871e-09,usable,usable
A1_supplementary,DASCMOP7_difficulty7,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.1404786680541103,reference_better,2.090074121952057e-05,usable,usable
