experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0002865353599190712,0.0002865353599190712,cliffs_delta_comparison_minus_reference,-0.5816857440166493,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,0.9001040582726326,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,hv,higher,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.16942174453288317,0.16942174453288317,cliffs_delta_comparison_minus_reference,0.186264308012487,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,igd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.1756664952263236,0.1756664952263236,cliffs_delta_comparison_minus_reference,0.2133194588969823,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,igd_plus,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.0244548320770264e-07,1.0244548320770264e-07,cliffs_delta_comparison_minus_reference,0.8709677419354839,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,gd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.09416095819324255,0.09416095819324255,cliffs_delta_comparison_minus_reference,-0.1841831425598335,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,spread,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.20231117121875286,0.20231117121875286,cliffs_delta_comparison_minus_reference,0.20499479708636836,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,time_s,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,hv,higher,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,2.7939677238464355e-09,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-0.9750260145681582,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,igd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.9278377294540405e-07,1.9278377294540405e-07,cliffs_delta_comparison_minus_reference,0.8439125910509886,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,igd_plus,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
