experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,status,report_status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A4,WFG9,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.19458896982310095,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.20915712799167535,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.44016649323621226,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.4214360041623309,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.044745057232049947,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.5691987513007284,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.3631633714880333,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.013527575442247659,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.3881373569198751,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.16545265348595214,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.331945889698231,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.5234131113423517,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.5920915712799167,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.4630593132154006,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.43184183142559834,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.1571279916753382,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.6462018730489074,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.3215400624349636,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
