source_block,source_file,metric,metric_reported_as,n,bootstrap_seed,n_bootstrap,result_dir,problem,algorithm,median,ci95_low,ci95_high,status,notes
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1364104341036975861,5000,results/20260417_034204_benchmark_zdt,ZDT4,MOSADE,321.34816168537736,321.34810286112355,321.34822451436185,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,18004014961045011485,5000,results/20260417_034204_benchmark_zdt,ZDT4,NSGA2,321.3440652481019,321.34400683997603,321.34432841598226,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,5449482914896597289,5000,results/20260417_034204_benchmark_zdt,ZDT4,NSGA3,321.34550214877595,321.34549482782467,321.3455067321848,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,12690769977240009407,5000,results/20260417_034204_benchmark_zdt,ZDT4,SMSEMOA,321.3459978213818,321.34598633492857,321.3460033242282,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,14411039458417398923,5000,results/20260417_034204_benchmark_zdt,ZDT4,SPEA2,321.34431341659416,321.34344390368454,321.344526699745,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,8052937692842690925,5000,results/20260417_034204_benchmark_zdt,ZDT6,MOEAD,8.16067674760951,8.160590565063409,8.16074351222341,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,13771286680255778639,5000,results/20260417_034204_benchmark_zdt,ZDT6,MOEAD_DE,8.160872370472573,8.160753361493246,8.160979980566154,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15198896559208302441,5000,results/20260417_034204_benchmark_zdt,ZDT6,MOSADE,8.163304033503156,8.163297113852813,8.163308474932185,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,6659964440678879017,5000,results/20260417_034204_benchmark_zdt,ZDT6,NSGA2,8.159725831876925,8.159523833379374,8.159845655932557,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15644076442642371604,5000,results/20260417_034204_benchmark_zdt,ZDT6,NSGA3,8.161077462027453,8.161027029815086,8.161102095781533,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,2521114931063992899,5000,results/20260417_034204_benchmark_zdt,ZDT6,SMSEMOA,8.16095496386452,8.16093795227315,8.160965847812061,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,16837177890223423901,5000,results/20260417_034204_benchmark_zdt,ZDT6,SPEA2,8.159523095598757,8.157826259380041,8.160219178842722,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,17493041395667059644,5000,results/20260417_163055_benchmark_wfg,WFG1,MOEAD,8.904960150647376,8.904420866676913,8.905986777922369,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11123311198317075820,5000,results/20260417_163055_benchmark_wfg,WFG1,MOEAD_DE,8.906598467724033,8.906320014088962,8.907047870629368,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,12252985809417810247,5000,results/20260417_163055_benchmark_wfg,WFG1,MOSADE,8.937766457908875,8.937687156449025,8.937845118609493,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,737495643367344318,5000,results/20260417_163055_benchmark_wfg,WFG1,NSGA2,8.454381794267597,8.450414150573028,8.714582322450353,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,10629473417819378176,5000,results/20260417_163055_benchmark_wfg,WFG1,NSGA3,8.917565692822526,8.917559013648523,8.917572979076468,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11862590802538764596,5000,results/20260417_163055_benchmark_wfg,WFG1,SMSEMOA,8.923171879624329,8.923116386641821,8.923266362153678,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,2110005698781738534,5000,results/20260417_163055_benchmark_wfg,WFG1,SPEA2,8.899589634828482,8.897645264572636,8.90203052600467,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,2905396692362082611,5000,results/20260417_163055_benchmark_wfg,WFG2,MOEAD,9.79715424352574,9.7951274613811,9.802001232350364,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,12328757774623679637,5000,results/20260417_163055_benchmark_wfg,WFG2,MOEAD_DE,10.367117549098694,10.3503979253364,10.378082199485036,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15080231153009489808,5000,results/20260417_163055_benchmark_wfg,WFG2,MOSADE,9.827473265033376,9.826508213056655,9.829004273765085,ok,median bootstrap CI; unsupported/missing/NaN values excluded
