experiment_group,problem,variant,seed,metric,value,direction,n_evals,status,source_result_dir,source_metrics_json,source_snapshot_sha256,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A4,DASCMOP7_difficulty7,MOSADE,4091952314,time_s,321.29973379999865,lower,300073,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_001/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,233227757,hv,110914.78165058616,higher,300064,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,233227757,igd,0.03178336568056168,lower,300064,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,233227757,igd_plus,0.02205378795946351,lower,300064,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,233227757,gd,0.0008447185893464601,lower,300064,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,233227757,spread,0.015518353006093739,lower,300064,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,233227757,time_s,304.8901883000217,lower,300064,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,3276785861,hv,110914.43242168512,higher,300055,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_003/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,3276785861,igd,0.03168164030185045,lower,300055,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_003/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,MOSADE,3276785861,igd_plus,0.022113996793261804,lower,300055,ok,results/a4_ablation_restart,results/a4_ablation_restart/DASCMOP7_difficulty7/MOSADE/run_003/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
