experiment_group,problem,variant,metric,direction,n_runs,median,iqr,mean,std,min,max,rank,best_flag,status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,DTLZ2_n_obj3,MOSADE,igd,lower,31,0.04950514939865299,0.002781005458371337,0.0496584833912232,0.001966066475860101,0.04560437994802025,0.05327247148514437,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,igd,lower,31,0.053904867664155746,0.002756513588850193,0.05433040930582243,0.0024219924851460505,0.04936545144854725,0.05978890859675022,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,igd_plus,lower,31,0.025223262815618014,0.0019196643685276266,0.025476423973763377,0.001467847959568578,0.023115447719014616,0.029846695123888125,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,igd_plus,lower,31,0.03351446009556432,0.003909114109300026,0.03449265841512582,0.0029193896197841534,0.02951767999138184,0.04150285035565678,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,spread,lower,31,0.02856969418717421,0.014409029860655335,0.03575146332072893,0.014298152182200473,0.022414814672514348,0.07894525941182581,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,spread,lower,31,0.025552337923170406,0.002163851244002337,0.02545136478775331,0.0020892580018469042,0.020415195060524072,0.02940859761982395,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,time_s,lower,31,679.44177580002,200.79916285000218,802.7700890096772,202.11968911795296,522.4659328999987,1190.2474374999874,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,time_s,lower,31,1404.9686659,159.90007555000193,1326.632225712902,224.0271322048274,763.372403299989,1535.1269761000003,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE,gd,lower,31,0.0031723032445891202,0.00013814747169767173,0.003209575897015814,8.56827509365038e-05,0.0030466395801917075,0.003357477287228066,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE_domselect,gd,lower,31,0.0031817222428461088,0.0001031033618541493,0.0031745190349417186,8.727301381183326e-05,0.002963359849185994,0.0033514389018322022,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
