result_dir,problem,algorithm,seed,source_files_found,n_decisions,n_objectives,n_pareto_approximation,n_feasible_final_population_recomputed,n_feasible_final_population_metrics_json,feasibility_ratio_recomputed,feasibility_ratio_metrics_json,best_cv_recomputed,median_cv_recomputed,cv_tolerance,definition_status,notes
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,1658700540,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,609942288,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3405943863,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,2257503667,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,4018327298,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,2224437599,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,168388230,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,911875363,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3699796293,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,2684470948,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,4091952314,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,233227757,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,3276785861,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,3644269654,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,1206282609,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,3543069911,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
