experiment_group,constant_name,constant_level,constant_value,problem,seed,metric,value,direction,n_evals,status,source_result_dir,source_metrics_json,source_snapshot_sha256,a1_a5_formal_experiment_source_snapshot_sha256,a1_a5_postprocessing_source_snapshot_sha256,e3_formal_experiment_source_snapshot_sha256,global_postprocessing_source_snapshot_sha256
E3,lp,low,20,DASCMOP7_difficulty7,4091952314,spread,0.017811014186679748,lower,300055,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_001/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,4091952314,time_s,322.79293009999674,lower,300055,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_001/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,233227757,hv,110918.54109202081,higher,300046,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,233227757,igd,0.03187574911465108,lower,300046,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,233227757,igd_plus,0.02226026653855506,lower,300046,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,233227757,gd,0.0008844894154862616,lower,300046,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,233227757,spread,0.01765952977146189,lower,300046,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,233227757,time_s,313.1373311000061,lower,300046,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_002/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,3276785861,hv,110915.62924401545,higher,300055,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_003/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
E3,lp,low,20,DASCMOP7_difficulty7,3276785861,igd,0.031359722654726994,lower,300055,ok,results/e3_sensitivity_design_constants/lp_low,results/e3_sensitivity_design_constants/lp_low/DASCMOP7_difficulty7/MOSADE_lp_low/run_003/metrics.json,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
