constant_name,problem,metric,direction,default_median,default_rank,max_abs_median_delta_vs_default,max_relative_median_delta_vs_default,max_abs_effect_size_vs_default,n_levels_better_than_default,n_levels_worse_than_default,n_significant_after_holm,robustness_class,a1_a5_formal_experiment_source_snapshot_sha256,a1_a5_postprocessing_source_snapshot_sha256,e3_formal_experiment_source_snapshot_sha256,global_postprocessing_source_snapshot_sha256
lp,DTLZ2_n_obj3,time_s,lower,698.5987721999991,2,29.38785860000644,0.042066862653450394,0.9834710743801653,1,1,1,sensitive_default_not_best,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG4,gd,lower,0.005361113730267642,3,0.0005483561380797541,0.10228399651062403,0.9834710743801653,2,0,1,sensitive_default_not_best,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG4,hv,higher,6.242322622922672,3,0.003463407227559223,0.0005548266946090086,0.09090909090909091,2,0,0,robust_small_effects,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG4,igd,lower,0.00622369700209163,3,0.00043771735487327466,0.07033076236297633,0.2892561983471074,2,0,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG4,igd_plus,lower,0.0031019496701827974,2,1.9938239600345367e-05,0.006427647679780185,0.04132231404958678,1,1,0,robust_small_effects,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG4,spread,lower,0.2628505391127319,3,0.012396447295338897,0.047161582156855626,0.4214876033057851,2,0,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG4,time_s,lower,412.59212480002316,2,183.478466999979,0.444696968195668,1.0,1,1,1,sensitive_default_not_best,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG9,gd,lower,0.0011994533621931213,3,1.3209681053523393e-05,0.011013084351500222,0.6363636363636364,2,0,1,sensitive_default_not_best,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG9,hv,higher,9.879573965988365,1,0.004313109229514112,0.00043656834235590667,0.5371900826446281,0,2,0,robust_default_not_worse,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG9,igd,lower,0.00948733893412488,3,0.00011775389163523262,0.012411688087972198,0.256198347107438,2,0,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG9,igd_plus,lower,0.007734318308088433,2,5.939356050406637e-05,0.007679223706367694,0.2727272727272727,1,1,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG9,spread,lower,0.24813516868980418,1,0.006632641252972082,0.02672995242066473,0.024793388429752067,0,2,0,robust_small_effects,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,WFG9,time_s,lower,752.9576211000094,2,283.47030199997243,0.37647577241577757,0.9669421487603306,1,1,1,sensitive_default_not_best,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,ZDT1,gd,lower,0.00016032273258283124,2,2.0793443366553556e-05,0.12969741116289019,0.4380165289256198,1,1,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,ZDT1,hv,higher,7.350922972707928,2,1.0456753974708022e-05,1.4225089847263044e-06,0.10743801652892562,1,1,0,robust_small_effects,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,ZDT1,igd,lower,0.0018851894470433203,2,4.276444883957904e-06,0.0022684430419791304,0.05785123966942149,1,1,0,robust_small_effects,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
