experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A4,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.00011839065700769424,0.00011839065700769424,cliffs_delta_comparison_minus_reference,-0.6337148803329865,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.5739351511001587e-07,1.5739351511001587e-07,cliffs_delta_comparison_minus_reference,-0.7419354838709677,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,hv,higher,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.000541122630238533,0.000541122630238533,cliffs_delta_comparison_minus_reference,0.45681581685744016,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,igd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0828599464148283,0.0828599464148283,cliffs_delta_comparison_minus_reference,-0.2570239334027055,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,igd_plus,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.21665488090366125,0.21665488090366125,cliffs_delta_comparison_minus_reference,-0.2695109261186264,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,gd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,spread,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.18865238688886166,0.18865238688886166,cliffs_delta_comparison_minus_reference,-0.23204994797086367,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,time_s,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,3.177858889102936e-05,3.177858889102936e-05,cliffs_delta_comparison_minus_reference,0.6545265348595213,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,hv,higher,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.11561407148838043,0.11561407148838043,cliffs_delta_comparison_minus_reference,-0.19458896982310095,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,igd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.336907590739429,0.336907590739429,cliffs_delta_comparison_minus_reference,-0.20915712799167535,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,igd_plus,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.014852074906229973,0.014852074906229973,cliffs_delta_comparison_minus_reference,-0.44016649323621226,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,gd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.00806064996868372,0.00806064996868372,cliffs_delta_comparison_minus_reference,-0.4214360041623309,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,spread,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.6776954075321555,0.6776954075321555,cliffs_delta_comparison_minus_reference,0.044745057232049947,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,time_s,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,5.317851901054382e-06,5.317851901054382e-06,cliffs_delta_comparison_minus_reference,0.5691987513007284,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
