result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,2740186692,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_010,ok,,300046,182,182,1.0,archive,110918.03684593266,0.03119537077100209,0.022029084016585338,0.0008509331498293382,0.017134204560658686,321.4260112999764
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,3884972972,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_011,ok,,300055,182,182,1.0,archive,110915.81955053359,0.033603471811343814,0.023793270753372623,0.0008856483082796111,0.018071129026465346,303.11240640000324
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,829139639,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_012,ok,,300055,182,182,1.0,archive,110917.05619529108,0.03212607606334628,0.02264442934972817,0.0008905626981206115,0.017227504974025976,308.3989437999844
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,2545567356,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_013,ok,,300064,182,182,1.0,archive,110916.7371145783,0.03169311083122115,0.022254806644889727,0.0009129745146897858,0.016555847927112816,328.36768960001064
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,2718398101,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_014,ok,,300046,182,182,1.0,archive,110914.68740237974,0.032955126347500044,0.023175622115872548,0.000957064643583487,0.01662304496915582,325.1308543999912
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,176092387,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_015,ok,,300037,182,182,1.0,archive,110913.7918806089,0.0335763597438975,0.024020550568959513,0.0009528937149447487,0.018697498226561606,310.9985190000152
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,3528048386,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_016,ok,,300064,182,182,1.0,archive,110918.61804772542,0.03247680910318827,0.022539532421289372,0.0009343146491783451,0.01798207823578241,327.46319239999866
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,569531098,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_017,ok,,300055,182,182,1.0,archive,110914.45999899154,0.03300960221340696,0.023159530203616285,0.0009109072167530627,0.015444168691184158,317.8122129999974
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,1337295874,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_018,ok,,300046,182,182,1.0,archive,110917.4789316774,0.03268143374847631,0.023077388575114058,0.0009521892990806837,0.017732354984679375,316.98690620000707
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,612016888,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_019,ok,,300037,182,182,1.0,archive,110917.99145027799,0.031169766517909325,0.02197869652392072,0.0008515467365362659,0.016627269167901144,314.26151350000873
