experiment_group,problem,variant,metric,direction,n_runs,median,iqr,mean,std,min,max,rank,best_flag,status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A3,DTLZ2_n_obj3,MOSADE,hv,higher,31,18.002498554943354,0.013300198661504226,18.000377934539063,0.01300833163430933,17.95818826793231,18.02119799900126,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE_shared_memory,hv,higher,31,18.006096231800477,0.011651617622156607,18.005291898879957,0.008679746607489483,17.987097247540728,18.01823198277304,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE,igd,lower,31,0.04950514939865299,0.002781005458371337,0.0496584833912232,0.001966066475860101,0.04560437994802025,0.05327247148514437,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE_shared_memory,igd,lower,31,0.04884519832659122,0.0018359296716681378,0.048937699659100074,0.0016574150167694853,0.04651960435040199,0.05344337197295995,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE,igd_plus,lower,31,0.025223262815618014,0.0019196643685276266,0.025476423973763377,0.001467847959568578,0.023115447719014616,0.029846695123888125,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE_shared_memory,igd_plus,lower,31,0.025318445875411936,0.0013101311613563614,0.025527297265572537,0.0014004580809714778,0.023550023847811095,0.03042319343597468,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE,spread,lower,31,0.02856969418717421,0.014409029860655335,0.03575146332072893,0.014298152182200473,0.022414814672514348,0.07894525941182581,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE_shared_memory,spread,lower,31,0.031711464710550606,0.009510757497064544,0.033840606769911095,0.01059003580829612,0.02237579593774948,0.0709524071402673,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE,time_s,lower,31,1049.0136702000018,39.756553050006914,1047.5907593161298,62.02941725515442,736.3226552999986,1104.3857932999963,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,MOSADE_shared_memory,time_s,lower,31,966.5413145000057,34.087868499998876,926.1883674483867,105.98913278229242,553.0699560999929,1015.2403352999972,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,MOSADE,gd,lower,31,0.0037229187864829087,0.00018430182518203901,0.003732266964394068,0.00012029765843215361,0.003463118741303202,0.003919102426040113,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,MOSADE_shared_memory,gd,lower,31,0.003717698846394744,0.0001374824431294502,0.00370205648085016,9.79943467871739e-05,0.003474810964484842,0.003915986824133189,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,MOSADE,hv,higher,31,6.242636381977554,0.004359780164602256,6.242348505562425,0.00649405766958595,6.226748718178953,6.2536318932290005,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
